RUN_ID,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,i_ges_P4,Gear_Ratio,No_Gears,shiftDelay,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc
80,0.62,2.97792,0,0,4,1975,2.975,0,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.1,0,1,0,0,0,750,6500,60,300,135,0,0,0,0,265,80,10000,0.04,0,0,0,0,0,0,0,0
81,0.62,2.63088,0,0,4,1805,2.975,0,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.35,1,0,0,0,0,750,6500,70,350,180,55,8,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
82,0.62,2.627226,0,0,4,1800,2.995,0,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.35,1,0,0,0,0,750,6500,66,330,140,200,13,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
83,0.62,2.63088,0,0,4,2080,2.995,0,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.35,1,0,0,0,0,750,6500,62,310,140,250,135,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
84,0.62,2.505725,0,0,4,1850,2.995,0,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.35,1,0,0,0,0,750,6500,62,310,140,200,13,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
85,0.62,2.505725,0,0,4,1980,3.07,0,"[5.0, 3.2, 2.14, 1.72, 1.3, 1.0, 0.83, 0.64]",8,0.35,0,1,0,0,0,750,6500,100,500,240,0,0,0,0,250,70,10000,0.04,0,0,0,0,0,0,0,0
86,0.62,2.505725,0,0,4,1975,3.07,0,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.35,0,1,0,0,0,750,6500,100,500,240,0,0,0,0,250,70,10000,0.04,0,0,0,0,0,0,0,0
87,0.62,2.505725,0,0,4,2015,3.21,0,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.35,0,1,0,0,0,750,6500,100,500,240,0,0,0,0,250,70,10000,0.04,0,0,0,0,0,0,0,0
88,0.62,2.5185,0,0,4,2015,3.21,0,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.1,0,1,0,0,0,750,6500,80,400,190,0,0,0,0,250,70,10000,0.04,0,0,0,0,0,0,0,0
89,0.62,2.664,1,1,3.8,2255,3.215,0,"[5.5, 3.52, 2.2, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,7000,130,650,210,200,13,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
90,0.62,2.46715,1,1,3.8,2075,3.215,3.8,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.35,1,0,0,0,1,750,7000,80,400,200,55,12,18000,0.04,0,0,0,0,0,0,0,0,200,50,15000,0.04
91,0.62,2.46715,1,1,3.8,2510,3.006,0,"[5.0, 3.2, 2.14, 1.72, 1.3, 1.0, 0.83, 0.64]",8,0.1,1,0,0,0,0,750,6500,150,750,430,280,145,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
92,0.62,2.758896,1,1,3.8,2550,3.006,0,"[5.0, 3.2, 2.14, 1.72, 1.3, 1.0, 0.83, 0.64]",8,0.1,1,0,0,0,0,750,6500,150,750,430,280,145,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
93,0.72,3.67,1,0,4,1625,2.692,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.35,1,0,0,0,0,750,6500,48,240,115,55,15,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
94,0.68,3.17467,1,1,3.8,1730,2.692,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.35,1,0,0,0,0,750,6500,64,320,150,55,15,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
95,0.68,3.139535,1,1,3.8,1740,2.692,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.1,1,0,0,0,0,750,6500,80,400,221,55,14,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
96,0.68,3.139535,1,0,4,1645,2.692,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.35,1,0,0,0,0,750,6500,48,240,115,55,15,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
